# 2011/02/16 
# PHI , FLA 
# 4 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,48,15,19,5,44,35,9,15,61,4,6,29
2,1,0,20:00,4,1,48,9,1,0,0,0,0,48,15,19,5,44,35,9,15,61,4,6,29
3,1,0,19:30,5,1,15,15,3,0,0,0,0,48,15,19,5,44,35,9,15,61,4,6,29
4,1,0,18:59,1,0,48,0,1,86,2,0,0,48,15,13,6,41,35,19,21,85,43,52,29
5,1,0,18:21,5,1,13,10,2,0,0,0,0,18,10,13,6,20,35,13,14,10,5,48,29
6,1,0,18:19,6,0,13,13,3,0,0,0,0,18,10,13,6,20,35,13,14,10,5,48,29
7,1,1,18:16,4,1,36,9,3,0,0,0,0,11,36,20,44,35,0,9,15,21,61,6,29
8,1,-1,17:44,1,0,36,0,3,38,1,0,0,18,36,6,41,35,0,9,15,21,61,6,29
9,1,1,17:18,5,1,15,28,2,0,0,0,0,18,28,6,41,35,0,13,15,10,61,6,29
10,1,1,17:11,6,1,13,28,2,0,0,0,0,17,18,28,6,41,0,13,10,85,43,52,29
11,1,0,17:11,4,1,28,19,2,0,0,0,0,48,28,5,25,35,0,19,85,43,52,29,0
12,1,0,17:04,9,1,43,0,2,0,0,0,0,48,28,5,25,35,0,19,85,43,52,29,0
13,1,0,17:03,1,0,28,0,3,12,2,0,0,48,28,5,25,35,0,19,85,43,52,29,0
14,1,0,16:51,9,1,19,0,1,0,0,0,0,48,28,5,25,35,0,19,85,43,52,29,0
15,1,0,16:46,8,1,52,0,1,0,0,0,0,48,28,5,25,35,0,10,85,43,52,29,0
16,1,0,16:45,1,1,10,0,3,26,1,0,0,48,28,5,25,35,0,10,85,43,52,29,0
17,1, ,16:45,3,1,0,0,0,0,0,0,0,48,28,5,25,35,0,10,85,43,52,29,0
18,1,0,16:45,4,0,15,75,2,0,0,0,0,10,15,5,25,35,0,75,10,5,6,29,0
19,1,0,16:25,7,0,10,0,3,47,2,0,0,10,15,5,25,35,0,75,10,5,6,29,0
20,1,0,16:23,1,0,15,0,3,13,1,0,0,10,15,5,25,35,0,75,10,5,6,29,0
21,1,1,15:52,1,0,17,0,3,48,3,0,0,17,18,21,20,44,35,19,14,43,52,29,0
22,1, ,15:52,3,1,0,0,0,0,0,0,0,17,18,21,20,44,35,19,14,43,52,29,0
23,1,-1,15:52,4,1,17,19,2,0,0,0,0,17,18,21,20,44,35,19,14,43,52,29,0
24,1, ,15:46,3,10,0,0,0,0,0,0,0,17,18,21,20,44,35,19,14,43,52,29,0
25,1,1,15:46,4,0,18,19,3,0,0,0,0,17,18,21,20,44,35,19,14,43,52,29,0
26,1,-1,15:37,13,0,20,52,2,0,0,0,0,17,18,21,20,44,35,19,14,43,52,29,0
27,1,0,15:01,1,1,9,0,3,33,3,0,0,48,15,19,6,41,35,9,13,15,5,6,29
28,1, ,15:00,3,1,0,0,0,0,0,0,0,48,15,19,6,41,35,9,13,15,5,6,29
29,1,0,15:00,4,1,11,9,3,0,0,0,0,11,36,45,6,41,35,9,15,61,5,48,29
30,1,0,14:53,13,1,48,11,2,0,0,0,0,11,36,45,6,41,35,9,15,61,5,48,29
31,1,0,14:53,5,0,41,15,2,0,0,0,0,11,36,45,6,41,35,9,15,61,5,48,29
32,1, ,14:45,3,6,0,0,0,0,0,0,0,11,36,45,6,41,35,13,14,10,5,48,29
33,1,0,14:45,4,0,11,14,2,0,0,0,0,11,36,45,6,41,35,13,14,10,5,48,29
34,1, ,14:40,3,10,0,0,0,0,0,0,0,11,36,45,6,41,35,13,14,10,5,48,29
35,1,0,14:40,4,1,18,13,1,0,0,0,0,18,10,13,20,25,35,13,14,10,5,48,29
36,1,0,14:16,1,0,18,0,3,23,1,0,0,18,10,13,20,25,35,13,14,10,5,48,29
37,1, ,13:52,3,0,0,0,0,0,0,0,0,17,28,21,5,44,35,19,21,85,4,6,29
38,1,0,13:52,4,0,28,19,1,0,0,0,0,17,28,21,5,44,35,19,21,85,4,6,29
39,1,0,13:19,5,0,17,85,2,0,0,0,0,17,28,21,5,44,35,19,21,85,4,6,29
40,1,0,13:12,5,0,21,6,3,0,0,0,0,17,28,21,6,41,35,19,21,85,4,6,29
41,1, ,12:46,3,2,0,0,0,0,0,0,0,48,15,19,6,41,35,9,15,61,43,52,29
42,1,0,12:46,4,1,48,9,1,0,0,0,0,48,15,19,6,41,35,9,15,61,43,52,29
43,1,0,12:31,5,1,15,48,3,0,0,0,0,48,15,19,6,41,35,9,15,61,43,52,29
44,1,0,12:18,13,1,15,6,2,0,0,0,0,48,15,19,6,41,35,9,15,61,43,52,29
45,1,0,12:14,7,1,43,0,3,34,1,0,0,48,15,19,6,41,35,9,15,61,43,52,29
46,1,0,11:44,5,1,43,48,2,0,0,0,0,48,15,19,20,25,35,9,15,61,43,52,29
47,1,0,11:40,1,0,25,0,3,59,1,0,0,48,15,19,20,25,35,9,15,61,43,52,29
48,1, ,11:39,3,1,0,0,0,0,0,0,0,48,15,19,20,25,35,9,15,61,43,52,29
49,1,0,11:39,4,1,18,10,2,0,0,0,0,18,10,13,20,25,35,13,14,10,5,48,29
50,1,0,11:28,5,1,5,10,2,0,0,0,0,18,10,13,20,25,35,13,14,10,5,48,29
51,1,0,11:24,2,0,18,0,3,28,1,10,13,18,10,13,20,25,35,13,14,10,5,48,29
52,1,0,11:24,4,1,28,19,1,0,0,0,0,17,28,21,20,25,35,19,21,85,4,6,29
53,1, ,11:13,3,3,0,0,0,0,0,0,0,17,28,21,20,25,35,19,21,85,4,6,29
54,1,0,11:13,4,1,28,19,1,0,0,0,0,17,28,21,20,25,35,19,21,85,4,6,29
55,1,0,10:50,7,0,17,0,3,16,1,0,0,17,28,21,20,25,35,19,21,85,4,6,29
56,1,0,10:43,5,1,85,28,2,0,0,0,0,17,28,21,20,25,35,19,21,85,4,6,29
57,1,0,10:19,2,0,15,0,3,13,5,48,19,48,15,19,5,44,35,19,15,61,4,6,29
58,1,0,10:19,4,0,11,75,1,0,0,0,0,11,36,45,5,44,35,75,16,21,5,48,29
59,1,0,10:04,13,1,5,36,2,0,0,0,0,11,36,45,5,44,35,75,16,21,5,48,29
60,1,0,10:03,5,0,45,48,2,0,0,0,0,11,36,45,5,44,35,75,16,21,5,48,29
61,1,0,9:48,13,1,5,5,2,0,0,0,0,11,36,45,5,44,35,75,16,21,5,48,29
62,1, ,9:48,3,0,0,0,0,0,0,0,0,11,36,45,5,44,35,75,16,21,5,48,29
63,1,0,9:48,4,1,18,75,3,0,0,0,0,18,10,13,6,41,35,75,16,21,5,48,29
64,1,0,9:43,13,1,5,10,2,0,0,0,0,18,10,13,6,41,35,75,16,21,5,48,29
65,1,0,9:12,6,1,16,13,2,0,0,0,0,18,28,21,25,41,35,13,14,10,5,48,29
66,1,1,9:12,4,0,28,19,3,0,0,0,0,48,28,19,21,41,35,19,14,43,52,29,0
67,1,-1,8:48,1,1,14,0,3,39,1,0,0,48,28,19,21,41,35,19,14,43,52,29,0
68,1,-1,8:41,1,1,19,0,3,52,1,0,0,48,28,19,21,41,35,19,14,43,52,29,0
69,1,1,8:09,1,0,19,0,3,25,5,0,0,48,28,19,21,41,35,9,21,5,6,29,0
70,1,1,7:59,1,0,48,0,3,38,2,0,0,48,28,19,21,41,35,9,21,5,6,29,0
71,1,1,7:54,13,1,21,41,2,0,0,0,0,48,28,19,21,41,35,9,21,5,6,29,0
72,1, ,7:52,3,4,0,0,0,0,0,0,0,17,18,15,20,44,35,9,21,43,52,29,0
73,1,1,7:51,4,0,17,19,2,0,0,0,0,17,18,15,20,44,35,19,75,43,52,29,0
74,1,1,7:40,1,0,18,0,1,84,1,0,0,17,18,15,20,44,35,19,75,43,52,29,0
75,1, ,7:40,3,1,0,0,0,0,0,0,0,17,18,15,20,44,35,19,75,43,52,29,0
76,1,1,7:40,4,0,18,75,3,0,0,0,0,17,18,15,20,44,35,19,75,43,52,29,0
77,1,-1,7:16,8,1,43,0,2,0,0,0,0,17,18,15,20,44,35,13,14,43,52,29,0
78,1,0,6:57,5,1,4,10,2,0,0,0,0,10,28,13,5,25,35,13,14,10,4,6,29
79,1, ,6:55,3,8,0,0,0,0,0,0,0,10,28,13,5,25,35,13,14,10,4,6,29
80,1,0,6:55,4,1,28,9,2,0,0,0,0,10,28,13,5,25,35,9,15,61,4,6,29
81,1,0,6:18,5,1,15,5,3,0,0,0,0,10,28,13,5,25,35,9,15,61,5,48,29
82,1,0,6:10,8,1,61,0,2,0,0,0,0,10,28,13,25,41,35,9,15,61,5,48,29
83,1,0,6:05,1,0,45,0,3,56,2,0,0,10,28,45,25,41,35,9,15,61,5,48,29
84,1,0,6:02,5,0,45,5,3,0,0,0,0,11,36,45,6,41,35,9,15,61,5,48,29
85,1,0,5:35,5,1,19,41,2,0,0,0,0,11,36,45,6,41,35,19,21,85,5,48,29
86,1,0,5:08,13,1,19,44,2,0,0,0,0,48,15,19,41,44,35,19,14,10,43,52,29
